Last Name,First Name,Composition Title,File Name
Mayer,Emilie,"Faust Overture Op.45, mm.43-48 - Emilie Mayer",Mayer-Faust-sentence-mm45.pdf
Mayer,Emilie,Notturno - Emilia Mayer,Mayer-Notturno-Op48-complete.pdf
Mayer,Emilie,"Notturno, Op.48 mm.1-8 - Emilie Mayer",Mayer-Notturno-Op48-mm1-8.pdf
Mayer,Emilie,"Symphony No.5 Mvt.2, mm.1-22 - Emilie Mayer",Mayer-Sym5-Mvt2-mm1-22.pdf
Mayer,Emilie,"Symphony No.5 Mvt.2, mm.1-8 - Emilie Mayer",Mayer-Sym5-Mvt2-mm1-8.pdf
Mendelssohn Hensel,Fanny,Dost Thou Hear the Trees that Rustle - Fanny Mendelssohn Hensel,Mendelssohn-Dost-Thou-Hear-the-Trees-that-Rustle.pdf
Mendelssohn Hensel,Fanny,Du Bist Die Ruh - Fanny Mendelssohn Hensel,Mendelssohn-Du-Bist-Die-Ruh.pdf
Mendelssohn Hensel,Fanny,"Ferne, Op.9 No.2, complete - Fanny Mendelssohn Hensel",Mendelssohn-Hensel-Ferne.pdf
Mendelssohn Hensel,Fanny,"Die Mainacht, Op.9 No.6, complete - Fanny Mendelssohn Hensel",Mendelssohn-Hensel-Mainacht.pdf
Mendelssohn Hensel,Fanny,"Mélodies pour le Piano, Op.4 No.1, complete - Fanny Mendelssohn Hensel",Mendelssohn-Hensel-Op4-No1.pdf
Mendelssohn Hensel,Fanny,"Mélodies pour le Piano, Op.4 No.2, complete - Fanny Mendelssohn Hensel",Mendelssohn-Hensel-Op4-no2.pdf
Mendelssohn Hensel,Fanny,"Mélodies pour le Piano, Op.4 No.3, complete - Fanny Mendelssohn Hensel",Mendelssohn-Hensel-Op4-no3.pdf
Mendelssohn Hensel,Fanny,Hörst du nicht die Bäume rauschen (Lockung) - Fanny Mendelssohn Hensel,Mendelssohn-Horst-du-nicht-die-baume-rauschen.pdf
Mendelssohn Hensel,Fanny,"März, mm.5-9 from Das Jahr - Fanny Mendelssohn-Hensel",Mendelssohn-Marz-mm5-9.pdf
Mendelssohn Hensel,Fanny,"String Quartet in E-flat Major, mvt.II, mm. 30-41 - Fanny Mendelssohn Hensel",Mendelssohn-string-quartet-mvt-2-aug-6.pdf
Poldowski,,Cythère - Poldowski,Poldowski-Cythere.pdf
Poldowski,,Effet de Neige mm.10-18 - Poldowski,Poldowski-Effet-de-Neige-mm10-18.pdf
Poldowski,,Effet de Neige - Poldowski,Poldowski-Effet-de-Neige.pdf
Poldowski,,Spleen - Poldowski,Poldowski-Spleen.pdf
Price,Florence,"The Goblin and the Mosquito, complete - Florence Price",Price-Goblin-Mosquito-complete.pdf
Ramsey,Andrea,I Lift My Voice - Andrea Ramsey,Ramsey-I-Lift-My-Voice.pdf
Reichardt,Louise,Durch die bunten Rosenhecken - Louise Reichardt,Reichardt-Durch-die-bunten-Rosenhecken.pdf
Reichardt,Louise,Frühlingsleid - Louise Reichardt,Reichardt-Frulingsleid.pdf
Reichardt,Louise,Notturno - Louise Reichardt,Reichardt-Notturno.pdf
Reichardt,Louise,Poesia di Metatasio - Louise Reichardt,Reichardt-Poesia-di-Metatasio.pdf
Reichardt,Louise,Wenn ich ihn nur habe - Louise Reichardt,Reichardt-Wenn-ich-ihn-nur-habe.pdf
Renié,Henriette,Andante Religioso - Henriette Renié,Renie-Andante-Religioso-.pdf
Renié,Henriette,"Trio for Harp, Violin & Cello, Mvt.III Andante - Henriette Renié",Renie-Trio-III-complete.pdf
Röntgen-Maier,Amanda,Violin Concerto in D-minor - Amanda Röntgen-Maier,Rontgen-Maier-Violin-Concerto-D-minor.pdf
Röntgen-Maier,Amanda,"Violin Sonata in B minor, Mvt.I Allegro (piano reduction) - Amanda Röntgen-Maier",Rontgen-Maier-Violin-Sonata-b-minor-mvtI-piano-red.pdf
Röntgen-Maier,Amanda,"Violin Sonata in B minor, Mvt. II (piano reduction) - Amanda Röntgen-Maier",Rontgen-Maier-Violin-Sonata-b-minor-mvtII-piano-red.pdf
Röntgen-Maier,Amanda,"Violin Sonata in B minor, Mvt. III (piano reduction) – Amanda Röntgen-Maier",Rontgen-Maier-Violin-Sonata-b-minor-mvtIII.pdf
Schumann,Clara,"Piano Concerto in A Minor, Op.7 Mvt.1 - Clara Schumann",Schumann-A-minor-Piano-Concerto-mvt1.pdf
Schumann,Clara,"Piano Concerto in A Minor, Op.7 Mvt.2 - Clara Schumann",Schumann-A-minor-Piano-Concerto-mvt2.pdf
Schumann,Clara,Die Stille Lotosblume Op.13 No.6 - Clara Schumann,Schumann-Die-Stille-Lotosblume-complete.pdf
Schumann,Clara,"Easy Preludes for Students, No.1 - Clara Schumann",Schumann-Easy-Preludes-for-Students-1.pdf
Schumann,Clara,"Easy Preludes for Students, No.2 - Clara Schumann",Schumann-Easy-Preludes-for-Students-2.pdf
Schumann,Clara,"Ich hab' in Deinem Auge, Op.13 No.5 complete - Clara Schumann",Schumann-Ich-Hab-Op13-full.pdf
Schumann,Clara,"Ich stand in Dunklen Träumen , Op.13 No.1 - Clara Schumann",Schumann-Ich-Stand-first-page.pdf
Schumann,Clara,Konzertsatz in F Minor (1847) - Clara Schumann,Schumann-Konzertsatz.pdf
Schumann,Clara,"Liebst du um Schönheit, Op.12 No.4, complete - Clara Schumann",Schumann-Liebst-Du-Um-Schoenheit.pdf
Schumann,Clara,Fugue Op.16 No.1 - Clara Schumann,Schumann-Op16-Fugue-1.pdf
Schumann,Clara,Fugue Op.16 No.2 - Clara Schumann,Schumann-Op16-Fugue-2.pdf
Schumann,Clara,Fugue Op.16 No.3 - Clara Schumann,Schumann-Op16-Fugue-3.pdf
Schumann,Clara,Prelude Op.16 No.1 - Clara Schumann,Schumann-Op16-Prelude1.pdf
Schumann,Clara,Prelude Op.16 No.2 - Clara Schumann,Schumann-Op16-Prelude2.pdf
Schumann,Clara,Prelude Op.16 No.3 - Clara Schumann,Schumann-Op16-Prelude3.pdf
Schumann,Clara,"Scherzo No.2, Op.14 in C Minor - Clara Schumann",Schumann-Scherzo-2.pdf
Schumann,Clara,"Sie liebten sich Beide, Op.12 No.2 complete - Clara Schumann",Schumann-Sie-Liebten-Sich-Beide-full.pdf
Schumann,Clara,"Sie liebten sich beide, Op.13 No.2 mm.1-4 - Clara Schumann",Schumann-Sie-liebten-sich-beide-mm1-4.pdf
Schumann,Clara,"Sie liebten sich Beide, Op.13 No.2 mm.10-15 - Clara Schumann",Schumann-Sie-liebten-sich-beide-mm10-15.pdf
Schumann,Clara,"Sonata in G Minor - Mvmt. 1, Allegro- Clara Schumann",Schumann-Sonata-in-G-Minor.pdf
Schumann,Clara,"Variations on a Theme of Robert Schumann, Variation I - Clara Schumann",Schumann-Variation-I.pdf
Schumann,Clara,"Variations on a Theme of Robert Schumann, Variation II - Clara Schumann",Schumann-Variation-II.pdf
Schumann,Clara,"Variations on a Theme of Robert Schumann, Variation III - Clara Schumann",Schumann-Variation-III.pdf
Schumann,Clara,"Variations on a Theme of Robert Schumann, Op.20 Variation IV - Clara Schumann",Schumann-Variation-IV.pdf
Smyth,Ethel,"Two Interlinked French Folk Songs, mm.6-16 - Ethel Smyth",Smyth-French-melodies-mm6-16.pdf
Smyth,Ethyl,March of the Women (1910) - Ethyl Smyth,Smyth-March-of-the-Women.pdf
Smyth,Ethyl,"String Quartet in E Minor mvt.4, mm.1-26 - Ethel Smyth",Smyth-String-Quartet-mvt4-fugue-expo.pdf
Smyth,Ethyl,"String Quartet in E Minor mvt.4, mm.1-4 - Ethel Smyth",Smyth-String-Quartet-mvt4-fugue-theme.pdf
St. George Tucker,Tui,"Sonata for Solo Recorder (""The Bullfinch""), mm.12-15 - Tui St. George Tucker",SG-Tucker-Bullfinch-Sonata-mm12-15.pdf
St. George Tucker,Tui,"Libera Me from Requiem, mm.54-59 - Tui St. George Tucker",SG-Tucker-Libera-Me-mm54-59.pdf
St. George Tucker,Tui,"On A Mountain Road at Summer's End, pg.2 - Tui St. George Tucker",SG-Tucker-Mountain-Road-pg2.pdf
Strozzi,Barbara,"Mercé di voi from 1st Book of Madrigals, Op.1 mm.1-15 - Barbara Strozzi",Strozzi-Merce-di-voi-mm1-15.pdf
Strozzi,Barbara,"Mercé di voi from Primo libro de' madrigali Op.1, mm.66-76 - Barbara Strozzi",Strozzi-Merce-di-voi-mm66-76.pdf
Tailleferre,Germaine,Berceuse - Germaine Tailleferre,Tailleferre-Berceuse.pdf
Tailleferre,Germaine,"String Quartet, Mvt.I (1919) - Germaine Tailleferre",Tailleferre-String-Quartet-MvtI.pdf
Tailleferre,Germaine,"String Quartet, Mvt.II (1919) - Germaine Tailleferre",Tailleferre-String-Quartet-MvtII.pdf
Tailleferre,Germaine,"String Quartet, Mvt.III (1919) - Germaine Tailleferre",Tailleferre-String-Quartet-MvtIII.pdf
Tegnér,Alice,"Violin Sonata in A Minor, Mvt.I - Alice Tegnér",Tegner-Violin-Sonata-mvt1.pdf
Tegnér,Alice,"Violin Sonata in A Minor, Mvt.II - Alice Tegnér",Tegner-Violin-Sonata-mvt2.pdf
Tegnér,Alice,"Violin Sonata in A Minor, Mvt.III - Alice Tegnér",Tegner-Violin-Sonata-mvt3.pdf
Tegnér,Alice,"Violin Sonata in A Minor, Mvt.IV - Alice Tegnér",Tegner-Violin-Sonata-mvt4.pdf
von Bingen,Hildegard,Antiphonae de Spiritu Sancto from Symphonia et Ordo virtutum - Hildegard von Bingen,Bingen_Antiphonae-de-Spiritu-Sancto.pdf
von Bingen,Hildegard,Item de Virginibus from Symphonia et Ordo virtutum - Hildegard von Bingen,Bingen_Item-de-virginibus.pdf
von Bingen,Hildegard,O ignee Spiritus from Symphonia et Ordo virtutum - Hildegard von Bingen,Bingen_O-ignee-Spiritus.pdf
von Paradis,Maria Theresia,Sicilienne mm.1-11 - Maria Theresia von Paradis,Von-Paradis-Sicilienne-1-11.pdf
Westenholz,Sophia Maria,"Morgenlied from 12 Deutsche Lieder, Op.4 - Sophia Maria Westenholz",Morgenlied-Westenholz.pdf
Westenholz,Sophia Maria,"Das Grab from 12 Deutsche Lieder, Op.4 - Sophia Maria Westenholz",Westenhols-Das-Grab.pdf
Wilhelmine of Prussia,,Un certo freddo orrore from Argenore - Wilhelmine of Prussia,Wilhelmine-Un-certo-freddo-orrore.pdf
