File Name,Composition Title
Poldowski-Spleen.pdf,Spleen - Poldowski
Price-Goblin-Mosquito-complete.pdf,"The Goblin and the Mosquito, complete - Florence Price"
Ramsey-I-Lift-My-Voice.pdf,I Lift My Voice - Andrea Ramsey
Reichardt-Durch-die-bunten-Rosenhecken.pdf,Durch die bunten Rosenhecken - Louise Reichardt
Reichardt-Frulingsleid.pdf,Frühlingsleid - Louise Reichardt
Reichardt-Notturno.pdf,Notturno - Louise Reichardt
Reichardt-Poesia-di-Metatasio.pdf,Poesia di Metatasio - Louise Reichardt
Reichardt-Wenn-ich-ihn-nur-habe.pdf,Wenn ich ihn nur habe - Louise Reichardt
Renie-Andante-Religioso-.pdf,Andante Religioso - Henriette Renié
Renie-Trio-III-complete.pdf,"Trio for Harp, Violin & Cello, Mvt.III Andante - Henriette Renié"
Rigaudon_Chaminade.pdf,"Rigaudon Op.126 No.3, mm.36-44 - Cécile Chaminade"
Rontgen-Maier-Violin-Concerto-D-minor.pdf,Violin Concerto in D-minor - Amanda Röntgen-Maier
Rontgen-Maier-Violin-Sonata-b-minor-mvtI-piano-red.pdf,"Violin Sonata in B minor, Mvt.I Allegro (piano reduction) - Amanda Röntgen-Maier"
Rontgen-Maier-Violin-Sonata-b-minor-mvtII-piano-red.pdf,"Violin Sonata in B minor, Mvt. II (piano reduction) - Amanda Röntgen-Maier"
Rontgen-Maier-Violin-Sonata-b-minor-mvtIII.pdf,"Violin Sonata in B minor, Mvt. III (piano reduction) – Amanda Röntgen-Maier"
Schumann-A-minor-Piano-Concerto-mvt1.pdf,"Piano Concerto in A Minor, Op.7 Mvt.1 - Clara Schumann"
Schumann-A-minor-Piano-Concerto-mvt2.pdf,"Piano Concerto in A Minor, Op.7 Mvt.2 - Clara Schumann"
Schumann-Die-Stille-Lotosblume-complete.pdf,Die Stille Lotosblume Op.13 No.6 - Clara Schumann
Schumann-Easy-Preludes-for-Students-1.pdf,"Easy Preludes for Students, No.1 - Clara Schumann"
Schumann-Easy-Preludes-for-Students-2.pdf,"Easy Preludes for Students, No.2 - Clara Schumann"
Schumann-Ich-Hab-Op13-full.pdf,"Ich hab' in Deinem Auge, Op.13 No.5 complete - Clara Schumann"
Schumann-Ich-Stand-first-page.pdf,"Ich stand in Dunklen Träumen , Op.13 No.1 - Clara Schumann"
Schumann-Konzertsatz.pdf,Konzertsatz in F Minor (1847) - Clara Schumann
Schumann-Liebst-Du-Um-Schoenheit.pdf,"Liebst du um Schönheit, Op.12 No.4, complete - Clara Schumann"
Schumann-Op16-Fugue-1.pdf,Fugue Op.16 No.1 - Clara Schumann
Schumann-Op16-Fugue-2.pdf,Fugue Op.16 No.2 - Clara Schumann
Schumann-Op16-Fugue-3.pdf,Fugue Op.16 No.3 - Clara Schumann
Schumann-Op16-Prelude1.pdf,Prelude Op.16 No.1 - Clara Schumann
Schumann-Op16-Prelude2.pdf,Prelude Op.16 No.2 - Clara Schumann
Schumann-Op16-Prelude3.pdf,Prelude Op.16 No.3 - Clara Schumann
Schumann-Scherzo-2.pdf,"Scherzo No.2, Op.14 in C Minor - Clara Schumann"
Schumann-Sie-Liebten-Sich-Beide-full.pdf,"Sie liebten sich Beide, Op.12 No.2 complete - Clara Schumann"
Schumann-Sie-liebten-sich-beide-mm1-4.pdf,"Sie liebten sich beide, Op.13 No.2 mm.1-4 - Clara Schumann"
Schumann-Sie-liebten-sich-beide-mm10-15.pdf,"Sie liebten sich Beide, Op.13 No.2 mm.10-15 - Clara Schumann"
Schumann-Sonata-in-G-Minor.pdf,"Sonata in G Minor - Mvmt. 1, Allegro- Clara Schumann"
Schumann-Variation-I.pdf,"Variations on a Theme of Robert Schumann, Variation I - Clara Schumann"
Schumann-Variation-II.pdf,"Variations on a Theme of Robert Schumann, Variation II - Clara Schumann"
Schumann-Variation-III.pdf,"Variations on a Theme of Robert Schumann, Variation III - Clara Schumann"
